Pattern,Name,Location,Links,Notes
Pattern 1,"Emergent
Campus","Trinidad,
CO","https://www.emergentcampus.com/trinidad-campus • https://
trinidadstate.edu/news/2025/0409.html","Rural
innovation
hub + college
partnership &
internships."
Pattern 1,"Multi‐use
school
building
reopened
as town
resource","Nebraska
(various)","https://nebraskaexaminer.com/2023/01/08/on-the-bricks-plattsmouth-
high-school-got-new-life-as-housing/ • https://www.beatrice.ne.gov/

remarkable_redevelopment_of_former_school_sites_in_our_community

• https://www.sunflowernews.org/stories/2023-06-15/the-sunflower-
schoolhouse","Representative
Nebraska
cases of
reusing closed
schools for
community
benefit."
Pattern 1,"Converted
bus as
mobile
anchor","Eastern
Oregon","https://www.eou.edu/news-press/go-stems-mobile-maker-lab-set-to-
bring-accessible-stem-learning-across-eastern-oregon/ • https://

www.oregonstem.org/newsfeed/gostemmobilemaker • https://

extension.oregonstate.edu/news/mobile-maker-studio-delivers-
entrepreneurship-education-rural-youths","Mobile maker/
STEM labs
serving
remote
communities."
Pattern 1,"Rural innovation
hubs blending tech,
civic, education",Idaho,"https://stem.idaho.gov/ecosystem/
regional-hubs/ • https://oese.ed.gov/

offices/office-of-formula-grants/school-
choice-improvement-programs/full-
service-community-schools-fscs/

grantees/","Regional STEM/
innovation hubs;
full‐service community
school models."
Pattern 1,"Public‐private
community learning
centers in tribal &
Hispanic towns",New Mexico,"https://www.kclcmontessori.org/ •
https://puebloofacoma.org/

government-programs/library–learning-
center/ • https://santaana-nsn.gov/

education/ • https://
learningpolicyinstitute.org/product/

new-mexico-community-school-
penasco-brief • https://

www.the74million.org/article/for-these-
new-mexico-students-a-tribal-head-
start-program-is-preserving-culture-
language/","Community‐anchored
learning centers &
community schools in
rural NM/tribal
contexts."
Pattern 1,"Former high school
→ multi‐use hub
(entrepreneurship,
health, elder care)",Georgia,"https://www.gcvoters.org/blog/

2025/04/24/new-resilience-hub-in-
thomasville-georgia-to-protect-seniors-
revitalize-neighborhood/ • https://

www.hubforhall.org/ • https://

www.theoglethorpeecho.com/local-
news/school-based-health-center-serve-
students-could-fill-community-need/","Rural/small‐city reuse
of school assets into
multi‐service hubs."
Pattern 2,"Center for Rural
Affairs
storytelling
projects",Nebraska,"https://www.cfra.org/ • https://www.cfra.org/blog/

creating-stronger-communities-through-
welcoming-and-inclusion • https://www.cfra.org/

news-release/center-rural-affairs-presents-vang-
drama-about-recent-immigrant-farmers","Statewide
storytelling,
inclusion &
immigrant
narratives."
Pattern 2,"“Story Circles”
bridging new
immigrants &
long‐time
residents",North Carolina,"https://nchumanities.org/series/stories-that-
connect-us-a-community-conversation-on-telling-
the-full-story/ • https://nchumanities.org/

programs/community-humanities-projects/ •

https://www.ncjustice.org/projects/immigrant-
refugee-rights/policy-change-community-
engagement/home-to-me-immigrant-stories-from-
nc/","Public
storytelling/
dialogue
formats across
NC."
Pattern 2,"Tribal
storytelling
sessions →
illustrated
classroom
booklets",Alaska,"https://ankn.uaf.edu/Curriculum/Masters_Projects/
JudyMadros/ • https://ankn.uaf.edu/publications/
handbook/littlefield.html • https://
sealaskaheritage.org/wp-content/uploads/

2024/04/SHIs-Voices-On-The-Land-Workbook-
Grades-4-8-elementary-and-middle-school.pdf •

https://alutiiqeducation.org/html/stories/
storywork-curriculum.php","Elders’ stories
adapted into
readers &
curricula."
Pattern 2,"Appalachian
Memory
Project","Tennessee /
Appalachian
region","https://www.millionmemoryproject.org/
amp • https://springcreek-nc.org/
appalachian-memory-project/ • https://
www.youtube.com/
@appalachianmemoryproject","Community‐archived
oral histories/images;
regional model."
Pattern 2,"Town‐wide
oral‐history
podcast →
heritage
tourism",Oregon,"https://opencampus.oregonstate.edu/
podcast-02 • https://podcasts.apple.com/

us/podcast/welcome-to-oregon-a-oregon-
history-lore-podcast/id1693303368 •

https://greshamhistorical.org/voices-of-
gresham","Representative
Oregon oral‐history
podcasts leveraged for
local heritage."
Pattern 2,"Immigrant
family story
quilts used at
town‐hall
dialogues",Arizona,"https://www.migrantquiltproject.org/ •
https://arizonahistoricalsociety.org/

2022/02/02/quilt-exhibition-memorializes-
the-stories-of-migrants-who-died-seeking-
refuge-in-the-united-states/ • https://

ignatiansolidarity.net/blog/2025/03/04/
lilis-quilt/ • https://
thewelcomequiltproject.org/","Quilt projects as
storytelling & public
dialogue catalysts."
Pattern 3,Front Porch Forum,Vermont,"https://frontporchforum.com • https://

www.vtrural.org/front-porch-forum-
for-every-town/","Statewide hyper‐local
civic network."
Pattern 3,"Rural fire
department open
forums & action logs",Oregon,"https://www.irrigonfire.com/
transparency.html • https://

www.irrigonfire.com/district-
transparency","Example of
transparent ops,
agendas & minutes."
Pattern 3,"Tribal‐led mediation/
peacemaking circles",South Dakota,"https://cfrj.wordpress.com/ • https://

www.iirp.edu/news/oglala-sioux-tribe-
in-sd-trying-sentencing-circles","Restorative justice/
peacemaking used for
community trust."
Pattern 3,"Citizens’
assemblies for
budgeting &
neighborhood
design",Canada,"https://council.vancouver.ca/20150624/
documents/ptec5_AppB.PDF • https://

participedia.net/case/grandview-
woodland-citizens-assembly","Grandview‐Woodland CA
as a model."
